ID	Galaxy		Seq	RA		Dec		Type	PA	d	logNHI	Rad	b/a	Mass
#				"h:m:s":	"d:m:s"			deg:	pc	[/cm2]	kpc	b/a	Msun
#----------------------------------------------------------------------------------------------------------------------
85	ddo50		32	08:19:27.8	+70:41:06.8	3	90	495	1.0	3.6	1.0	23
86	ddo50		33	08:19:28.0	+70:45:25.1	3	90	495	0.9	2.7	1.0	19
87	ddo50		34	08:19:28.8	+70:39:49.1	1	90	742	0.8	4.8	1.0	50
88	ddo50		35	08:19:29.2	+70:43:35.6	1	54	359	0.9	2.3	0.8	7
89	ddo50		36	08:19:33.1	+70:45:14.6	1	118	505	0.9	3.0	0.6	17
90	ddo50		37	08:19:35.4	+70:41:27.3	3	90	544	1.1	4.1	1.0	35
91	ddo50		38	08:19:37.4	+70:45:01.1	1	108	325	0.9	3.4	0.5	5
92	ddo50		39	08:19:37.8	+70:43:12.3	2	90	594	1.1	3.4	1.0	45
93	ddo50		40	08:19:40.7	+70:46:14.6	1	133	1784	0.8	4.2	0.5	1875
94	ddo50		41	08:19:45.2	+70:42:49.0	2	88	434	0.8	4.4	0.6	10
95	ddo52		1	08:28:23.7	+41:51:46.4	2	90	599	0.5	4.5	1.0	98
96	ddo52		2	08:28:25.7	+41:50:49.5	2	173	487	0.7	2.8	0.5	84
97	ddo52		3	08:28:26.2	+41:51:37.5	3	15	734	0.7	2.2	0.7	219
98	ddo52		4	08:28:26.6	+41:51:03.5	2	179	804	0.7	1.8	0.5	269
99	ddo52		5	08:28:26.7	+41:49:42.0	2	40	464	0.4	5.1	0.6	10
100	ddo52		6	08:28:26.9	+41:52:45.0	1	15	382	0.4	4.6	0.5	6
101	ddo52		7	08:28:27.4	+41:52:34.5	3	90	599	0.6	3.9	1.0	106
102	ddo52		8	08:28:28.1	+41:51:51.0	2	24	821	0.6	1.6	0.8	219
103	ddo52		9	08:28:28.5	+41:49:55.5	1	11	413	0.6	4.3	0.5	11
104	ddo52		10	08:28:28.5	+41:52:12.0	3	90	480	0.5	2.6	1.0	61
105	ddo52		11	08:28:28.5	+41:50:37.5	2	137	596	0.8	2.2	0.8	184
106	ddo52		12	08:28:29.4	+41:52:12.0	1	42	518	0.3	2.6	0.6	46
107	ddo52		13	08:28:30.1	+41:51:37.5	3	70	526	0.8	1.6	0.6	129
108	ddo52		14	08:28:30.9	+41:51:04.5	1	58	523	0.7	2.4	0.8	114
109	ddo52		15	08:28:32.1	+41:51:45.8	1	69	634	0.6	3.4	0.6	135
110	ddo52		16	08:28:33.0	+41:51:16.4	3	90	959	0.5	4.1	1.0	243
111	ddo52		17	08:28:34.7	+41:52:31.4	3	90	569	0.3	6.3	1.0	53
112	ddo53		1	08:34:03.5	+66:11:06.4	3	90	272	1.0	1.4	1.0	3
113	ddo53		2	08:34:03.8	+66:10:21.5	3	90	210	1.1	0.7	1.0	2
114	ddo53		3	08:34:04.8	+66:10:39.5	3	90	126	1.1	0.4	1.0	0
115	ddo53		4	08:34:05.3	+66:10:30.5	3	30	170	1.1	0.3	0.5	1
116	ddo53		5	08:34:07.5	+66:11:41.0	3	10	255	0.7	2.6	0.5	1
117	ddo53		6	08:34:10.0	+66:10:38.0	1	16	339	1.1	0.2	0.9	8
118	ddo53		7	08:34:11.4	+66:11:21.5	3	90	293	1.0	1.7	1.0	4
119	ddo63		1	09:40:13.9	+71:11:30.6	3	90	431	0.9	1.6	1.0	:
120	ddo63		2	09:40:22.1	+71:12:21.5	3	90	250	0.9	1.7	1.0	:
121	ddo63		3	09:40:22.4	+71:12:08.0	2	178	208	1.0	1.4	0.6	:
122	ddo63		4	09:40:22.7	+71:12:33.5	1	147	323	0.9	1.9	0.9	:
123	ddo63		5	09:40:28.6	+71:12:10.7	3	90	318	0.9	1.3	1.0	:
124	ddo63		6	09:40:30.6	+71:11:09.2	1	102	950	1.0	0.1	0.7	:
